year,link,name
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey - ""Marcel the Shell with Shoes On"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Joel Crawford and Mark Swift - ""Puss in Boots: The Last Wish"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Chris Williams and Jed Schlanger - ""The Sea Beast"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Domee Shi and Lindsey Collins - ""Turning Red"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Darius Khondji - ""Bardo, False Chronicle of a Handful of Truths"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Mandy Walker - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Roger Deakins - ""Empire of Light"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Florian Hoffmeister - ""Tár"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Mary Zophres - ""Babylon"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Catherine Martin - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Shirley Kurata - ""Everything Everywhere All at Once"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Jenny Beavan - ""Mrs. Harris Goes to Paris"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Martin McDonagh - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Steven Spielberg - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Todd Field - ""Tár"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Ruben Östlund - ""Triangle of Sadness"""
